movie_actor,movie_country,movie_date,movie_director,movie_name_cn,movie_name_en,movie_rating,movie_type
,中国香港,1994,导演:王晶JingWong,九品芝麻官, / 九品芝麻官之白面包青天  /  Hail the Judge,8.5,剧情喜剧古装
,美国,1994,导演:爱德华·兹威克EdwardZwick,燃情岁月, / Legends of the Fall,8.8,剧情爱情战争西部
,中国香港 中国大陆,1992,导演:李惠民RaymondLee,新龙门客栈, / 新龍門客棧,8.6,动作爱情武侠古装
,美国 加拿大,2011,导演:邓肯·琼斯DuncanJones,源代码, / Source Code,8.5,科幻悬疑惊悚
,美国,2007,导演:罗伯·莱纳RobReiner,遗愿清单, / The Bucket List,8.6,冒险喜剧剧情
,中国香港 中国大陆,1993,导演:徐克HarkTsui,青蛇, / Green Snake,8.6,剧情爱情奇幻古装
,日本,2006,导演:细田守MamoruHosoda,穿越时空的少女, / 時をかける少女,8.6,剧情爱情科幻动画
,德国 美国,2009,导演:QuentinTarantino,无耻混蛋, / Inglourious Basterds,8.6,剧情犯罪
,中国台湾,2017,导演:黄信尧Hsin-yaoHuang,大佛普拉斯, / The Great Buddha+,8.7,剧情喜剧
,中国香港,1990,导演:王家卫KarWaiWong,阿飞正传, / 阿飛正傳,8.5,犯罪剧情爱情
,美国 德国,2006,导演:爱德华·兹威克EdwardZwick,血钻, / Blood Diamond,8.7,剧情惊悚冒险
,意大利,2016,导演:保罗·格诺维瑟PaoloGenovese,完美陌生人, / Perfetti sconosciuti,8.5,剧情喜剧
,澳大利亚 南非,2015,导演:乔治·米勒GeorgeMiller,疯狂的麦克斯4：狂暴之路, / Mad Max: Fury Road,8.6,动作科幻冒险
,美国 德国,2004,导演:保罗·格林格拉斯PaulGreengrass,谍影重重2, / The Bourne Supremacy,8.7,动作悬疑惊悚
,日本,2008,导演:是枝裕和HirokazuKoreeda,步履不停, / 歩いても 歩いても,8.8,剧情家庭
,印度,2007,导演:阿米尔·汗AamirKhan,地球上的星星, / Taare Zameen Par,8.9,剧情儿童家庭
,德国 法国 西班牙 美国,2006,导演:汤姆·提克威TomTykwer,香水, / Perfume: The Story of a Murderer,8.5,剧情犯罪奇幻
,英国 美国,2018,导演:布莱恩·辛格BryanSinger,波西米亚狂想曲, / Bohemian Rhapsody,8.7,剧情传记同性音乐
,美国 英国,2013,导演:詹姆斯·沃德·布柯特JamesWardByrkit,彗星来的那一夜, / Coherence,8.5,科幻悬疑惊悚
,美国 法国,2005,导演:安德鲁·尼科尔AndrewNiccol,战争之王, / Lord of War,8.7,剧情犯罪
,美国 德国 捷克,2002,导演:道格·里曼DougLiman,谍影重重, / The Bourne Identity,8.6,动作悬疑惊悚
,美国 德国,2008,导演:史蒂芬·戴德利StephenDaldry,朗读者, / The Reader,8.6,剧情爱情
,英国,1996,导演:丹尼·博伊尔DannyBoyle,猜火车, / Trainspotting,8.5,剧情犯罪
,德国,2008,导演:丹尼斯·甘塞尔DennisGansel,浪潮, / Die Welle,8.7,剧情惊悚
,日本,1953,导演:小津安二郎YasujirôOzu,东京物语, / 東京物語,9.2,剧情家庭
,美国,2013,导演:约翰·卡尼JohnCarney,再次出发之纽约遇见你, / Begin Again,8.6,喜剧爱情音乐
,美国,1997,导演:安德鲁·尼科尔AndrewNiccol,千钧一发, / Gattaca,8.8,剧情科幻惊悚
,美国,2015,导演:托马斯·麦卡锡ThomasMcCarthy,聚焦, / Spotlight,8.8,剧情传记
,中国大陆,2016,导演:周申ShenZhou/刘露LuLiu,驴得水, / Mr. Donkey,8.3,剧情喜剧
,印度,2015,导演:卡比尔·汗KabirKhan,小萝莉的猴神大叔, / Bajrangi Bhaijaan,8.4,剧情喜剧动作
,英国,1998,导演:克里斯托弗·诺兰ChristopherNolan,追随, / Following,8.9,犯罪悬疑惊悚
,韩国,2019,导演:奉俊昊Joon-hoBong,寄生虫, / 기생충,8.7,剧情喜剧
,美国 澳大利亚,2003,导演:AndyWachowski/LarryWachowski,黑客帝国2：重装上阵, / The Matrix Reloaded,8.6,动作科幻
,韩国,2011,导演:秋昌民Chang-minChoo,我爱你, / 그대를 사랑합니다,9.0,剧情爱情
,美国,2001,导演:雷德利·斯科特RidleyScott,黑鹰坠落, / Black Hawk Down,8.7,动作历史战争
,伊朗 法国,2011,导演:阿斯哈·法哈蒂AsgharFarhadi,一次别离, / جدایی نادر از سیمین,8.7,剧情家庭
,美国 俄罗斯,2018,导演:阿尼什·查甘蒂AneeshChaganty,网络谜踪, / Searching,8.6,剧情犯罪悬疑惊悚
,英国 美国,1971,导演:斯坦利·库布里克StanleyKubrick,发条橙, / A Clockwork Orange,8.6,犯罪剧情科幻
,中国大陆,2017,导演:陆庆屹LuQingYi,四个春天, / Four Springs,8.9,纪录片家庭
