movie_actor,movie_country,movie_date,movie_director,movie_name_cn,movie_name_en,movie_rating,movie_type
, 1964(中国大陆) ,1961(中国大陆),导演:万籁鸣LaimingWan/唐澄ChengTang,大闹天宫, / 大闹天宫 上下集  /  The Monkey King,9.3,1978(中国大陆)
,美国,1974,导演:弗朗西斯·福特·科波拉FrancisFordCoppola,教父2, / The Godfather: Part Ⅱ,9.2,剧情犯罪
,美国 加拿大,2002,导演:史蒂文·斯皮尔伯格StevenSpielberg,猫鼠游戏, / Catch Me If You Can,9.0,传记犯罪剧情
,美国,1994,导演:RogerAllers/罗伯·明可夫RobMinkoff,狮子王, / The Lion King,9.0,动画冒险歌舞
,美国,1989,导演:彼得·威尔PeterWeir,死亡诗社, / Dead Poets Society,9.1,剧情
,美国 新西兰,2002,导演:彼得·杰克逊PeterJackson,指环王2：双塔奇兵, / The Lord of the Rings: The Two Towers,9.1,剧情动作奇幻冒险
,法国 德国 英国 波兰,2002,导演:罗曼·波兰斯基RomanPolanski,钢琴家, / The Pianist,9.2,剧情传记历史战争音乐
,德国,2006,导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck,窃听风暴, / Das Leben der Anderen,9.1,剧情悬疑
,新西兰 美国,2001,导演:彼得·杰克逊PeterJackson,指环王1：魔戒再现, / The Lord of the Rings: The Fellowship of the Ring,9.0,剧情动作奇幻冒险
,美国 澳大利亚,1999,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski,黑客帝国, / The Matrix,9.0,动作科幻
,中国台湾 美国,1994,导演:李安AngLee,饮食男女, / 飲食男女,9.1,剧情家庭
,美国,2001,导演:朗·霍华德RonHoward,美丽心灵, / A Beautiful Mind,9.0,传记剧情
,英国,1998,导演:GuyRitchie,两杆大烟枪," / Lock, Stock and Two Smoking Barrels",9.1,剧情喜剧犯罪
,中国大陆 中国香港,2010,导演:姜文WenJiang,让子弹飞, / 让子弹飞一会儿  /  火烧云,8.8,剧情喜剧动作西部
,美国,1975,导演:米洛斯·福尔曼MilošForman,飞越疯人院, / One Flew Over the Cuckoo's Nest,9.1,剧情
,美国,2008,导演:大卫·芬奇DavidFincher,本杰明·巴顿奇事, / The Curious Case of Benjamin Button,8.9,剧情爱情奇幻
,美国,2018,导演:彼得·法雷里PeterFarrelly,绿皮书, / Green Book,8.9,剧情喜剧传记
,西班牙,2016,导演:奥里奥尔·保罗OriolPaulo,看不见的客人, / Contratiempo,8.8,剧情犯罪悬疑惊悚
,德国 瑞士 南非,2015,导演:阿兰·葛斯彭纳AlainGsponer,海蒂和爷爷, / Heidi,9.2,剧情冒险家庭
,意大利 美国,2000,导演:朱塞佩·托纳多雷GiuseppeTornatore,西西里的美丽传说, / Malèna,8.9,剧情战争情色
,美国,1998,导演:史蒂文·斯皮尔伯格StevenSpielberg,拯救大兵瑞恩, / Saving Private Ryan,9.0,剧情历史战争
,伊朗,1997,导演:马基德·马基迪MajidMajidi,小鞋子, / بچههای آسمان,9.2,剧情儿童家庭
,英国 美国,2008,导演:马克·赫尔曼MarkHerman,穿条纹睡衣的男孩, / The Boy in the Striped Pajamas,9.1,剧情战争
,日本,1995,导演:岩井俊二ShunjiIwai,情书, / Love Letter,8.9,剧情爱情
,美国,1965,导演:罗伯特·怀斯RobertWise,音乐之声, / The Sound of Music,9.0,剧情传记爱情歌舞
,美国,2009,导演:路易·西霍尤斯LouiePsihoyos,海豚湾, / The Cove,9.3,纪录片
,美国 意大利,1984,导演:赛尔乔·莱翁内SergioLeone,美国往事, / Once Upon a Time in America,9.2,犯罪剧情
,英国 美国,2006,导演:克里斯托弗·诺兰ChristopherNolan,致命魔术, / The Prestige,8.9,剧情悬疑惊悚
,美国,1994,导演:昆汀·塔伦蒂诺QuentinTarantino,低俗小说, / Pulp Fiction,8.9,剧情喜剧犯罪
,美国,1991,导演:乔纳森·戴米JonathanDemme,沉默的羔羊, / The Silence of the Lambs,8.8,剧情犯罪惊悚
,美国,1995,导演:大卫·芬奇DavidFincher,七宗罪, / Se7en,8.8,剧情犯罪悬疑惊悚
,美国,2010,导演:MartinScorsese,禁闭岛, / Shutter Island,8.8,剧情悬疑惊悚
,美国 加拿大,2004,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber,蝴蝶效应, / The Butterfly Effect,8.8,剧情悬疑科幻惊悚
,美国,1997,导演:格斯·范·桑特GusVanSant,心灵捕手, / Good Will Hunting,8.9,剧情
,美国 德国 英国,2014,导演:韦斯·安德森WesAnderson,布达佩斯大饭店, / The Grand Budapest Hotel,8.8,剧情喜剧冒险
,中国香港 日本 韩国,1997,导演:王家卫KarWaiWong,春光乍泄, / 春光乍洩,8.9,剧情爱情同性
,日本,2006,导演:中岛哲也TetsuyaNakashima,被嫌弃的松子的一生, / 嫌われ松子の一生,8.9,剧情歌舞
,美国,1936,导演:查理·卓别林CharlesChaplin,摩登时代, / Modern Times,9.3,剧情喜剧爱情
,美国 英国,2009,导演:詹姆斯·卡梅隆JamesCameron,阿凡达, / Avatar,8.7,动作科幻冒险
,美国 英国,2011,导演:大卫·叶茨DavidYates,哈利·波特与死亡圣器(下), / Harry Potter and the Deathly Hallows: Part 2,8.9,奇幻冒险
,美国,1990,导演:蒂姆·波顿TimBurton,剪刀手爱德华, / Edward Scissorhands,8.7,剧情奇幻爱情
,中国香港,1999,导演:周星驰StephenChow/李力持Lik-ChiLee,喜剧之王, / 喜劇之王,8.8,喜剧剧情爱情
,美国,1995,导演:梅尔·吉布森MelGibson,勇敢的心, / Braveheart,8.9,动作传记剧情历史战争
,美国,2003,导演:詹姆斯·曼高德JamesMangold,致命ID, / Identity,8.8,剧情悬疑惊悚
,美国,2003,导演:戈尔·维宾斯基GoreVerbinski,加勒比海盗, / Pirates of the Caribbean: The Curse of the Black Pearl,8.8,动作冒险奇幻
,韩国,2003,导演:奉俊昊Joon-hoBong,杀人回忆, / 살인의 추억,8.8,剧情动作犯罪悬疑惊悚
,法国 德国,2001,导演:让-皮埃尔·热内Jean-PierreJeunet,天使爱美丽, / Le fabuleux destin d'Amélie Poulain,8.7,喜剧爱情
,丹麦 瑞典,2012,导演:托马斯·温特伯格ThomasVinterberg,狩猎, / Jagten,9.1,剧情
,美国 加拿大,2005,导演:李安AngLee,断背山, / Brokeback Mountain,8.8,剧情爱情同性家庭
,意大利 法国 巴西 美国 荷兰 德国,2017,导演:卢卡·瓜达尼诺LucaGuadagnino,请以你的名字呼唤我, / Call Me by Your Name,8.9,剧情爱情同性
,韩国,2013,导演:李焕庆Hwan-kyeongLee,7号房的礼物, / 7번방의 선물,8.9,剧情喜剧家庭
,日本,1997,导演:宫崎骏HayaoMiyazaki,幽灵公主, / もののけ姫,8.9,动画奇幻冒险
,日本,2006,导演:今敏SatoshiKon,红辣椒, / パプリカ,9.0,动画悬疑科幻惊悚
,中国大陆 中国香港,1994,导演:姜文WenJiang,阳光灿烂的日子, / In the Heat of the Sun,8.8,剧情爱情
,日本,2014,导演:森淳一JunichiMori,小森林 夏秋篇, / リトル・フォレスト 夏・秋,9.0,剧情
,美国,1999,导演:M·奈特·沙马兰M.NightShyamalan,第六感, / The Sixth Sense,8.9,剧情悬疑惊悚
,中国香港,1994,导演:王家卫KarWaiWong,重庆森林, / 重慶森林,8.7,剧情爱情
,日本,2008,导演:泷田洋二郎YôjirôTakita,入殓师, / おくりびと,8.8,剧情
,日本,2015,导演:森淳一JunichiMori,小森林 冬春篇, / リトル・フォレスト 冬・春,9.0,剧情
,美国,2014,导演:大卫·芬奇DavidFincher,消失的爱人, / Gone Girl,8.7,剧情犯罪悬疑惊悚
,美国 奥地利 瑞士,1995,导演:理查德·林克莱特RichardLinklater,爱在黎明破晓前, / Before Sunrise,8.8,剧情爱情
,中国香港,1993,导演:李力持Lik-ChiLee,唐伯虎点秋香, / 唐伯虎點秋香,8.6,喜剧爱情古装
,中国台湾 日本,2000,导演:杨德昌EdwardYang,一一, / Yi yi  /  Yi yi: A One and a Two,9.0,剧情爱情家庭
,美国 英国,2012,导演:克里斯托弗·诺兰ChristopherNolan,蝙蝠侠：黑暗骑士崛起, / The Dark Knight Rises,8.8,剧情动作科幻犯罪惊悚
,日本,1999,导演:北野武TakeshiKitano,菊次郎的夏天, / 菊次郎の夏,8.8,剧情喜剧
,日本,1995,导演:近藤喜文YoshifumiKondo,侧耳倾听, / 耳をすませば,8.9,剧情爱情动画
,美国,2011,导演:托尼·凯耶TonyKaye,超脱, / Detachment,8.9,剧情
,中国香港,1987,导演:程小东Siu-TungChing,倩女幽魂, / 倩女幽魂(87版)  /  倩女幽魂：妖魔道,8.7,爱情奇幻武侠古装
,日本,2004,导演:是枝裕和HirokazuKoreeda,无人知晓, / 誰も知らない,9.1,剧情
,美国,2014,导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams,超能陆战队, / Big Hero 6,8.7,喜剧动作科幻动画冒险
,澳大利亚,2009,导演:亚当·艾略特AdamElliot,玛丽和马克思, / Mary and Max,8.9,剧情喜剧动画
,中国香港,1996,导演:陈可辛PeterChan,甜蜜蜜, / Comrades: Almost a Love Story,8.8,剧情爱情
,日本,2011,导演:大森贵弘TakahiroOmori,萤火之森, / 蛍火の杜へ,8.9,剧情爱情动画奇幻
,日本,2010,导演:中岛哲也TetsuyaNakashima,告白, / 自白  /  母亲,8.7,剧情惊悚
,日本,2010,导演:米林宏昌HiromasaYonebayashi,借东西的小人阿莉埃蒂, / 借りぐらしのアリエッティ,8.8,动画奇幻冒险
,美国,2010,导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders,驯龙高手, / How to Train Your Dragon,8.7,动画奇幻冒险
,美国,2003,导演:蒂姆·波顿TimBurton,大鱼, / Big Fish,8.8,剧情家庭奇幻冒险
,韩国,2011,导演:姜炯哲Hyeong-CheolKang,阳光姐妹淘, / 써니,8.8,剧情喜剧
,美国 法国,2004,导演:理查德·林克莱特RichardLinklater,爱在日落黄昏时, / Before Sunset,8.8,剧情爱情
,美国,2004,导演:史蒂文·斯皮尔伯格StevenSpielberg,幸福终点站, / The Terminal,8.8,喜剧剧情爱情
,中国香港,1993,导演:刘镇伟JeffreyLau,射雕英雄传之东成西就, / 射鵰英雄傳之東成西就,8.7,喜剧奇幻武侠古装
,中国大陆 中国香港,2004,导演:周星驰StephenChow,功夫, / 功夫3D  /  Kung Fu Hustle,8.6,动作喜剧犯罪奇幻
,日本,2017,导演:伏原健之KenshiFushihara,人生果实, / 人生フルーツ,9.5,纪录片
,美国,1993,导演:克林特·伊斯特伍德ClintEastwood,完美的世界, / A Perfect World,9.1,剧情犯罪
,韩国,2013,导演:金秉祐Byeong-wooKim,恐怖直播, / 더 테러 라이브,8.8,剧情犯罪悬疑
,美国 法国,2010,导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud,神偷奶爸, / Despicable Me,8.6,喜剧动画冒险
,美国,2001,导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman,怪兽电力公司," / Monsters, Inc.",8.7,儿童喜剧动画奇幻冒险
,中国大陆,1983(中国大陆),导演:王树忱ShuchenWang/钱运达YundaQian,天书奇谭, / The Legend of Sealed Book  /  Secrets of the Heavenly Book,9.2,动画奇幻
,美国,2010,导演:李·昂克里奇LeeUnkrich,玩具总动员3, / Toy Story 3,8.8,喜剧动画奇幻冒险
,英国 美国,2004,导演:AlfonsoCuarón,哈利·波特与阿兹卡班的囚徒, / Harry Potter and the Prisoner of Azkaban,8.7,奇幻冒险
,法国 英国 美国,2005,导演:乔·怀特JoeWright,傲慢与偏见, / Pride & Prejudice,8.6,剧情爱情
,美国 澳大利亚,2016,导演:梅尔·吉布森MelGibson,血战钢锯岭, / Hacksaw Ridge,8.7,剧情传记历史战争
,美国,1990,导演:弗朗西斯·福特·科波拉FrancisFordCoppola,教父3, / The Godfather: Part III,8.9,剧情犯罪
,英国,2013,导演:理查德·柯蒂斯RichardCurtis,时空恋旅人, / About Time,8.7,喜剧爱情奇幻
,韩国,2016,导演:延尚昊Sang-hoYeon,釜山行, / 부산행,8.5,动作惊悚灾难
,日本,1984,导演:宫崎骏HayaoMiyazaki,风之谷, / 風の谷のナウシカ,8.9,动画奇幻冒险
,中国大陆,1979,导演:严定宪DingxianYan/王树忱ShuchenWang,哪吒闹海, / Prince Nezha's Triumph Against Dragon King  /  Nezha Conquers the Dragon King,9.1,冒险动画奇幻
,美国,2012,导演:昆汀·塔伦蒂诺QuentinTarantino,被解救的姜戈, / Django Unchained,8.7,剧情动作西部冒险
,美国,2004,导演:詹姆斯·温JamesWan,电锯惊魂, / Saw,8.7,悬疑惊悚恐怖
,中国台湾 美国,1993,导演:李安AngLee,喜宴, / 囍宴,8.9,剧情喜剧爱情同性家庭
,巴西 法国,2002,导演:费尔南多·梅里尔斯FernandoMeirelles/卡迪亚·兰德KátiaLund,上帝之城, / Cidade de Deus,8.9,犯罪剧情
